ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
01001,17312,36,34,51,37,74,35,17,10,-.43084496,.085101269,.126561,.076442704,.20745921,.086469717,.2704708,.0083636856
01002,30014,72,91,78,15,79,82,33,83,.63324773,.25962469,.1809237,.04243372,.36542284,.096856505,.50989997,.014798938
01003,11357,76,100,1,90,1,100,1,100,.78632873,.80232561,0,.23809524,.66449398,0,.90476191,0
01005,5128,14,34,6,17,33,8,34,42,-1.1681253,.08560545,.048270315,.045957919,.26864406,.038580246,.1388889,.014917696
01007,15005,14,19,18,18,47,16,22,4,-1.175958,.060762376,.075582825,.047872864,.18352398,.051231351,.18551141,.01024627
01008,1140,8,9,3,51,2,1,32,11,-1.435065,.042105265,.033613447,.098792538,.20987654,.0061224489,.048979592,.014285714
01009,261,49,91,1,22,79,33,1,58,-.051408917,.25670499,0,.053658538,.29646018,.096491225,.2631579,0
01010,3658,17,18,54,14,10,5,40,70,-1.0511626,.057835307,.13197969,.041729324,.32380113,.018659296,.11955771,.017277125
01011,1430,28,41,37,47,35,18,1,23,-.66241246,.096956827,.10594315,.092421442,.23516949,.040780142,.19680852,0
01012,585,17,27,37,45,7,6,1,4,-1.0609841,.073504277,.10526316,.087866105,.18181819,.014705882,.12132353,0
01013,22733,87,79,94,78,90,82,51,63,1.1632828,.1918373,.25733677,.16983895,.30873242,.15765864,.5085339,.022757111
01020,30108,51,38,59,63,75,56,10,34,.017398134,.092833057,.14059156,.12557283,.25460157,.087591812,.35247695,.0051570558
01022,2586,62,84,85,13,59,54,20,99,.32931787,.21113689,.200883,.040072858,.53247589,.064124785,.34488735,.0095320623
01026,933,25,41,65,5,65,22,1,42,-.77924615,.096774191,.15163934,.024926687,.2682927,.071428575,.21875,0
01027,17818,32,35,34,11,51,59,12,19,-.55667704,.086312711,.10010882,.036441892,.2293158,.055373359,.36377397,.0063067609
01028,16242,17,12,40,27,60,13,24,33,-1.0660908,.047462553,.11012476,.061210215,.25263047,.064954683,.17354818,.011077543
01029,538,28,12,41,67,1,27,77,1,-.68988121,.048327137,.11111111,.13665944,.1462141,0,.2394958,.046218488
01030,11384,16,26,28,20,64,17,7,17,-1.083822,.070842527,.091417298,.051402431,.22390257,.069746375,.19497283,.0038496377
01031,1135,72,79,52,48,85,81,60,55,.64626914,.19383261,.12800001,.095011875,.29216468,.11731844,.49906892,.027932961
01032,495,5,30,1,1,9,3,1,19,-1.563603,.078787878,.0070422534,.0074626864,.22922637,.017094018,.094017096,0
01033,6322,10,7,30,25,27,7,13,2,-1.3280413,.037646316,.09500543,.057797395,.1606635,.033807147,.12908183,.0065309256
01034,2186,11,36,2,19,7,2,1,31,-1.2944156,.087800369,.030351438,.04978488,.24982156,.015204678,.073684208,0
01035,5319,18,23,58,10,68,22,5,34,-1.0174068,.067154124,.13788487,.035066504,.25402614,.075850047,.21621622,.0021795989
01036,5178,10,2,14,29,53,3,1,18,-1.3155289,.02559559,.067980967,.063957863,.22534767,.057,.086499996,0
01037,747,8,33,46,1,1,8,1,93,-1.4280128,.08372093,.11888112,0,.42332613,0,.13865547,0
01038,2734,15,10,33,3,65,36,38,9,-1.1361352,.044623263,.09987516,.019617224,.20421299,.071311474,.27459016,.016393442
01039,1207,6,7,2,12,28,34,1,3,-1.5271316,.038939521,.029069768,.037810944,.17560975,.034990791,.26703498,0
01040,40241,96,95,97,85,94,90,66,90,1.5713216,.29338345,.29811078,.20588344,.39913183,.21966226,.59327137,.032530434
01050,2438,20,35,32,35,35,13,9,28,-.94820958,.086079076,.097072423,.07227616,.24412856,.040299907,.17244612,.0046860357
01053,1593,45,88,53,23,63,28,1,78,-.1535483,.23493975,.13,.05559906,.34717786,.069026552,.24247788,0
01054,2001,9,22,39,19,3,5,8,18,-1.3689537,.065467268,.10796461,.050000001,.22629696,.0091383811,.11357702,.0039164489
01056,21291,44,35,44,79,57,35,13,42,-.18031676,.086615324,.11566307,.17369618,.26871291,.062208202,.27091482,.006687697
01057,8824,15,20,16,33,8,14,30,16,-1.1295162,.06213085,.072886296,.07026194,.22116219,.016165627,.17555304,.01361316
01060,15948,61,64,58,29,88,89,25,60,.31349638,.14539269,.13887922,.063246056,.30166537,.13865161,.58831602,.011744967
01062,10364,31,49,42,28,59,29,7,49,-.5922147,.11210406,.11219148,.062572569,.28123546,.063773677,.24718294,.00359626
01063,611,1,1,1,1,1,1,1,97,-1.9854703,0,0,0,.46481177,0,0,0
01066,31,,1,1,100,1,1,1,1,,0,0,1,0,0,0,0
01068,1833,6,10,11,15,28,1,1,41,-1.5098593,.044286497,.063314714,.042428676,.26615384,.034883723,.049418606,0
01069,8556,37,29,63,49,70,25,10,23,-.4029046,.075925268,.1477382,.095584817,.2352432,.078677312,.22976054,.0051311287
01070,648,12,24,17,9,6,15,63,12,-1.2317054,.067901231,.074712642,.032882012,.2118863,.013513514,.18243243,.030405406
01071,1318,6,17,44,13,17,3,1,40,-1.4977494,.056904402,.11609498,.039236479,.265625,.024714829,.093155891,0
01072,1478,24,36,55,4,51,3,36,71,-.80004901,.087695442,.13380282,.022686025,.32890704,.055555556,.096825399,.015873017
01073,6144,7,2,2,23,36,3,42,12,-1.4557956,.024820378,.030624263,.054922976,.21183112,.041562758,.091022447,.018287614
01074,411,66,73,100,1,88,98,1,1,.44004023,.17274939,.77894735,0,.14864865,.1368421,.77894735,0
01075,17703,32,40,37,22,68,36,13,56,-.55521613,.096083067,.10509155,.053244308,.2932418,.075574368,.27297461,.0066505442
01077,9720,27,29,36,37,63,16,27,24,-.72333628,.076803483,.10403963,.075571671,.23773395,.069400631,.18664564,.012355415
01079,781,14,1,100,1,1,55,1,55,-1.1804526,0,.74444443,0,.2923387,0,.34795323,0
01080,2709,80,90,61,47,51,78,88,94,.93238133,.24880029,.14378029,.092042759,.42722017,.055555556,.47603485,.075163402
01081,1883,9,17,17,18,24,14,23,21,-1.3514478,.056928035,.075050712,.047547169,.23148936,.031746034,.17857143,.01058201
