year,geo_type,geo_id,geo_rank,geography,number,percent,percent_low,percent_high
2020,UHF34,101,3,Kingsbridge - Riverdale,42000,59.2,59.2,59.2
2020,UHF34,102,3,Northeast Bronx,95000,66.2,66.2,66.2
2020,UHF34,103,3,Fordham - Bronx Pk,134000,74.9,74.9,74.9
2020,UHF34,104,3,Pelham - Throgs Neck,156000,72.8,72.8,72.8
2020,UHF34,201,3,Greenpoint,42000,41.4,41.4,41.4
2020,UHF34,202,3,Downtown - Heights - Slope,81000,46.8,46.8,46.8
2020,UHF34,203,3,Bedford Stuyvesant - Crown Heights,146000,61.7,61.7,61.7
2020,UHF34,204,3,East New York,84000,63.5,63.5,63.5
2020,UHF34,205,3,Sunset Park,46000,49.5,49.5,49.5
2020,UHF34,206,3,Borough Park,119000,52.1,52.1,52.1
2020,UHF34,207,3,East Flatbush - Flatbush,142000,66.4,66.4,66.4
2020,UHF34,208,3,Canarsie - Flatlands,104000,72,72,72
2020,UHF34,209,3,Bensonhurst - Bay Ridge,85000,53.2,53.2,53.2
2020,UHF34,210,3,Coney Island - Sheepshead Bay,120000,53,53,53
2020,UHF34,211,3,Williamsburg - Bushwick,98000,66.1,66.1,66.1
2020,UHF34,301,3,Washington Heights,136000,68.7,68.7,68.7
2020,UHF34,302,3,Central Harlem - Morningside Heights,80000,67.1,67.1,67.1
2020,UHF34,303,3,East Harlem,44000,54.7,54.7,54.7
2020,UHF34,304,3,Upper West Side,78000,43.3,43.3,43.3
2020,UHF34,401,3,Long Island City - Astoria,84000,51.9,51.9,51.9
2020,UHF34,402,3,West Queens,228000,63.1,63.1,63.1
2020,UHF34,403,3,Flushing - Clearview,98000,49,49,49
2020,UHF34,405,3,Ridgewood - Forest Hills,126000,65.9,65.9,65.9
2020,UHF34,407,3,Southwest Queens,142000,70.5,70.5,70.5
2020,UHF34,408,3,Jamaica,151000,72.3,72.3,72.3
2020,UHF34,409,3,Southeast Queens,111000,75.9,75.9,75.9
2020,UHF34,410,3,Rockaways,58000,72.7,72.7,72.7
2020,UHF34,305307,3,Upper East Side-Gramercy,119000,39.1,39.1,39.1
2020,UHF34,306308,3,Chelsea-Village,62000,30.5,30.5,30.5
2020,UHF34,309310,3,Union Square-Lower Manhattan,89000,42.9,42.9,42.9
2020,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,73000,53.2,53.2,53.2
2020,UHF34,501502,3,Northern SI,105000,72.1,72.1,72.1
2020,UHF34,503504,3,Southern SI,145000,67.8,67.8,67.8
2020,UHF34,105106107,3,South Bronx,256000,67,67,67
2020,Borough,1,1,Bronx,694000,68.7,68.7,68.7
2020,Borough,2,1,Brooklyn,1087000,57.5,57.5,57.5
2020,Borough,3,1,Manhattan,610000,46.8,46.8,46.8
2020,Borough,4,1,Queens,1077000,63,63,63
2020,Borough,5,1,Staten Island,247000,69.3,69.3,69.3
2020,Citywide,1,0,New York City,3716000,59.2,59.2,59.2
2019,UHF34,101,3,Kingsbridge - Riverdale,37000,52.4,52.4,52.4
2019,UHF34,102,3,Northeast Bronx,103000,69.6,69.6,69.6
2019,UHF34,103,3,Fordham - Bronx Pk,122000,71.1,71.1,71.1
2019,UHF34,104,3,Pelham - Throgs Neck,152000,66.4,66.4,66.4
2019,UHF34,201,3,Greenpoint,40000,41.8,41.8,41.8
2019,UHF34,202,3,Downtown - Heights - Slope,86000,50.8,50.8,50.8
2019,UHF34,203,3,Bedford Stuyvesant - Crown Heights,148000,62.9,62.9,62.9
2019,UHF34,204,3,East New York,97000,71.2,71.2,71.2
2019,UHF34,205,3,Sunset Park,37000,41.1,41.1,41.1
2019,UHF34,206,3,Borough Park,134000,59,59,59
2019,UHF34,207,3,East Flatbush - Flatbush,136000,58.9,58.9,58.9
2019,UHF34,208,3,Canarsie - Flatlands,109000,72.1,72.1,72.1
2019,UHF34,209,3,Bensonhurst - Bay Ridge,91000,57,57,57
2019,UHF34,210,3,Coney Island - Sheepshead Bay,136000,58.6,58.6,58.6
2019,UHF34,211,3,Williamsburg - Bushwick,89000,61.8,61.8,61.8
2019,UHF34,301,3,Washington Heights,126000,64.6,64.6,64.6
2019,UHF34,302,3,Central Harlem - Morningside Heights,84000,68.7,68.7,68.7
2019,UHF34,303,3,East Harlem,56000,70.1,70.1,70.1
2019,UHF34,304,3,Upper West Side,79000,43.4,43.4,43.4
2019,UHF34,401,3,Long Island City - Astoria,98000,56.4,56.4,56.4
2019,UHF34,402,3,West Queens,223000,62.8,62.8,62.8
2019,UHF34,403,3,Flushing - Clearview,86000,43,43,43
2019,UHF34,405,3,Ridgewood - Forest Hills,122000,61.6,61.6,61.6
2019,UHF34,407,3,Southwest Queens,123000,59.3,59.3,59.3
2019,UHF34,408,3,Jamaica,124000,59.5,59.5,59.5
2019,UHF34,409,3,Southeast Queens,105000,68.7,68.7,68.7
2019,UHF34,410,3,Rockaways,58000,75.6,75.6,75.6
2019,UHF34,305307,3,Upper East Side-Gramercy,113000,36.5,36.5,36.5
2019,UHF34,306308,3,Chelsea-Village,77000,38.1,38.1,38.1
2019,UHF34,309310,3,Union Square-Lower Manhattan,84000,40.5,40.5,40.5
2019,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,84000,58.9,58.9,58.9
2019,UHF34,501502,3,Northern SI,96000,67.7,67.7,67.7
2019,UHF34,503504,3,Southern SI,133000,62.7,62.7,62.7
2019,UHF34,105106107,3,South Bronx,253000,65.4,65.4,65.4
2019,Borough,1,1,Bronx,679000,66.2,66.2,66.2
2019,Borough,2,1,Brooklyn,1119000,58.9,58.9,58.9
2019,Borough,3,1,Manhattan,619000,47.6,47.6,47.6
2019,Borough,4,1,Queens,1047000,59.9,59.9,59.9
2019,Borough,5,1,Staten Island,233000,64.7,64.7,64.7
2019,Citywide,1,0,New York City,3697000,58.4,58.4,58.4
2018,UHF34,101,3,Kingsbridge - Riverdale,47000,65,65,65
2018,UHF34,102,3,Northeast Bronx,91000,60.8,60.8,60.8
2018,UHF34,103,3,Fordham - Bronx Pk,125000,69.3,69.3,69.3
2018,UHF34,104,3,Pelham - Throgs Neck,158000,66.8,66.8,66.8
2018,UHF34,201,3,Greenpoint,59000,58.4,58.4,58.4
2018,UHF34,202,3,Downtown - Heights - Slope,87000,49.6,49.6,49.6
2018,UHF34,203,3,Bedford Stuyvesant - Crown Heights,158000,64.4,64.4,64.4
2018,UHF34,204,3,East New York,88000,64.2,64.2,64.2
2018,UHF34,205,3,Sunset Park,47000,49.1,49.1,49.1
2018,UHF34,206,3,Borough Park,130000,55.4,55.4,55.4
2018,UHF34,207,3,East Flatbush - Flatbush,146000,62.3,62.3,62.3
2018,UHF34,208,3,Canarsie - Flatlands,114000,73.1,73.1,73.1
2018,UHF34,209,3,Bensonhurst - Bay Ridge,98000,59.7,59.7,59.7
2018,UHF34,210,3,Coney Island - Sheepshead Bay,137000,58.2,58.2,58.2
2018,UHF34,211,3,Williamsburg - Bushwick,96000,61.7,61.7,61.7
2018,UHF34,301,3,Washington Heights,133000,64.9,64.9,64.9
2018,UHF34,302,3,Central Harlem - Morningside Heights,85000,68.5,68.5,68.5
2018,UHF34,303,3,East Harlem,55000,67.3,67.3,67.3
2018,UHF34,304,3,Upper West Side,83000,45,45,45
2018,UHF34,401,3,Long Island City - Astoria,107000,60.6,60.6,60.6
2018,UHF34,402,3,West Queens,203000,55.1,55.1,55.1
2018,UHF34,403,3,Flushing - Clearview,110000,52.7,52.7,52.7
2018,UHF34,405,3,Ridgewood - Forest Hills,125000,60,60,60
2018,UHF34,407,3,Southwest Queens,139000,65.2,65.2,65.2
2018,UHF34,408,3,Jamaica,155000,70.1,70.1,70.1
2018,UHF34,409,3,Southeast Queens,104000,67.4,67.4,67.4
2018,UHF34,410,3,Rockaways,59000,71.8,71.8,71.8
2018,UHF34,305307,3,Upper East Side-Gramercy,116000,37.5,37.5,37.5
2018,UHF34,306308,3,Chelsea-Village,80000,39.3,39.3,39.3
2018,UHF34,309310,3,Union Square-Lower Manhattan,84000,39.4,39.4,39.4
2018,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,81000,53.8,53.8,53.8
2018,UHF34,501502,3,Northern SI,99000,70.6,70.6,70.6
2018,UHF34,503504,3,Southern SI,140000,66.4,66.4,66.4
2018,UHF34,105106107,3,South Bronx,264000,65.2,65.2,65.2
2018,Borough,1,1,Bronx,692000,65.5,65.5,65.5
2018,Borough,2,1,Brooklyn,1171000,59.9,59.9,59.9
