siteID,date,element,data_value,measurement_flag,quality_flag,source_flag,obs_time,location,month,month_name
US1NYKN0025,2019-01-01,PRCP,358,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-01,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-01,PRCP,361,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-01,PRCP,351,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-01,PRCP,376,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-01,PRCP,302,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-01,PRCP,302,NA,NA,N,0800,Staten,1,January
US1NYKN0025,2019-01-02,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-02,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-02,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-02,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-02,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-02,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-02,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-02,PRCP,0,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-02,SNOW,0,NA,NA,N,0800,Staten,1,January
US1NYKN0025,2019-01-03,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-03,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYQN0027,2019-01-03,PRCP,0,TRUE,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-03,PRCP,0,TRUE,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-03,PRCP,3,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-03,PRCP,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-03,SNOW,0,NA,NA,N,0700,Staten,1,January
US1NYNY0074,2019-01-04,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-04,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-04,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-04,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-04,PRCP,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-04,SNOW,0,NA,NA,N,0700,Staten,1,January
US1NYNY0074,2019-01-05,PRCP,84,NA,NA,N,2100,Manhattan,1,January
US1NYQN0027,2019-01-05,PRCP,61,NA,NA,N,0639,Queens,1,January
US1NYQN0029,2019-01-05,DAPR,2,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-05,MDPR,43,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-05,PRCP,130,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-05,PRCP,58,NA,NA,N,0800,Staten,1,January
US1NYNY0074,2019-01-06,PRCP,58,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-06,PRCP,79,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-06,PRCP,69,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-06,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-06,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-06,PRCP,66,NA,NA,N,0800,Staten,1,January
US1NYNY0074,2019-01-07,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-07,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-07,PRCP,0,TRUE,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-07,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-07,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-07,PRCP,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-07,SNOW,0,NA,NA,N,0700,Staten,1,January
US1NYKN0025,2019-01-08,SNWD,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-08,DAPR,5,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-08,MDPR,127,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-08,PRCP,20,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-08,PRCP,18,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-08,PRCP,23,NA,NA,N,0700,Queens,1,January
US1NYRC0002,2019-01-08,PRCP,15,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-08,SNWD,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-08,WESD,0,NA,NA,N,0700,Staten,1,January
US1NYKN0025,2019-01-09,PRCP,58,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-09,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-09,PRCP,38,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-09,PRCP,58,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-09,PRCP,48,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-09,PRCP,79,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-09,PRCP,53,NA,NA,N,0700,Staten,1,January
US1NYKN0025,2019-01-10,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-10,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-10,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-10,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-10,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-10,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-10,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-10,PRCP,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-10,SNOW,0,NA,NA,N,0700,Staten,1,January
US1NYKN0025,2019-01-11,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-11,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-11,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-11,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-11,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-11,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-11,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-11,PRCP,0,TRUE,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-11,SNOW,0,TRUE,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-11,SNWD,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-11,WESD,0,NA,NA,N,0700,Staten,1,January
US1NYRC0002,2019-01-11,WESF,0,TRUE,NA,N,0700,Staten,1,January
US1NYKN0025,2019-01-12,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-12,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-12,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-12,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-12,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-12,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-12,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-12,PRCP,0,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-12,SNOW,0,NA,NA,N,0800,Staten,1,January
US1NYKN0025,2019-01-13,PRCP,0,TRUE,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-13,SNOW,0,TRUE,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-13,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-13,PRCP,0,TRUE,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-13,PRCP,0,TRUE,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-13,SNOW,0,TRUE,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-13,SNWD,0,TRUE,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-13,PRCP,0,TRUE,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-13,PRCP,3,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-13,SNOW,3,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-13,SNWD,3,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-13,WESD,3,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-13,WESF,3,NA,NA,N,0800,Staten,1,January
US1NYKN0025,2019-01-14,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-14,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-14,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0026,2019-01-14,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-14,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-14,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-14,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-14,PRCP,0,TRUE,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-14,SNOW,0,TRUE,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-14,SNWD,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-14,WESD,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-14,WESF,0,TRUE,NA,N,0600,Staten,1,January
US1NYKN0025,2019-01-15,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-15,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-15,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0026,2019-01-15,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-15,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-15,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-15,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-15,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-15,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-15,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYKN0025,2019-01-16,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-16,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-16,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0026,2019-01-16,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-16,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-16,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-16,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-16,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-16,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYKN0025,2019-01-17,PRCP,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-17,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-17,PRCP,0,NA,NA,N,0700,Manhattan,1,January
US1NYQN0026,2019-01-17,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-17,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-17,PRCP,0,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-17,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-17,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-17,PRCP,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-17,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYKN0025,2019-01-18,PRCP,13,NA,NA,N,0700,Brooklyn,1,January
US1NYQN0026,2019-01-18,PRCP,8,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-18,PRCP,8,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-18,SNOW,8,NA,NA,N,0700,Queens,1,January
US1NYQN0027,2019-01-18,SNWD,8,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-18,PRCP,13,NA,NA,N,0600,Staten,1,January
US1NYRC0001,2019-01-18,SNOW,0,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-18,PRCP,10,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-18,SNOW,10,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-18,SNWD,10,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-18,WESD,10,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-18,WESF,10,NA,NA,N,0800,Staten,1,January
US1NYQN0027,2019-01-19,PRCP,0,TRUE,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-19,PRCP,13,NA,NA,N,0700,Queens,1,January
US1NYRC0002,2019-01-19,PRCP,0,TRUE,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-19,SNOW,0,TRUE,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-19,SNWD,0,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-19,WESD,0,NA,NA,N,0800,Staten,1,January
US1NYRC0002,2019-01-19,WESF,0,TRUE,NA,N,0800,Staten,1,January
US1NYKN0025,2019-01-20,SNWD,0,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-20,DAPR,2,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-20,MDPR,366,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-20,PRCP,345,NA,NA,N,0800,Manhattan,1,January
US1NYNY0074,2019-01-20,SNOW,13,NA,NA,N,0800,Manhattan,1,January
US1NYQN0027,2019-01-20,PRCP,343,NA,NA,N,0837,Queens,1,January
US1NYQN0029,2019-01-20,PRCP,318,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-20,PRCP,297,NA,NA,N,0600,Staten,1,January
US1NYRC0002,2019-01-20,PRCP,442,NA,NA,N,0900,Staten,1,January
US1NYRC0002,2019-01-20,SNOW,0,NA,NA,N,0900,Staten,1,January
US1NYRC0002,2019-01-20,SNWD,0,NA,NA,N,0900,Staten,1,January
US1NYRC0002,2019-01-20,WESD,0,NA,NA,N,0900,Staten,1,January
US1NYRC0002,2019-01-20,WESF,0,NA,NA,N,0900,Staten,1,January
US1NYKN0025,2019-01-21,PRCP,43,NA,NA,N,0700,Brooklyn,1,January
US1NYKN0025,2019-01-21,SNOW,0,NA,NA,N,0700,Brooklyn,1,January
US1NYNY0074,2019-01-21,PRCP,33,NA,NA,N,0700,Manhattan,1,January
US1NYQN0027,2019-01-21,PRCP,28,NA,NA,N,0700,Queens,1,January
US1NYQN0029,2019-01-21,PRCP,69,NA,NA,N,0700,Queens,1,January
US1NYRC0001,2019-01-21,PRCP,0,NA,NA,N,0600,Staten,1,January
