zip,sdi_score,uhf42,uhf42_neighborhood,uhf34,uhf34_neighborhood
10001,70,306,Chelsea Clinton,306308,Chelsea Village
10002,97,309,Union Square Lower East Side,309310,"Union Square, Lower Manhattan"
10003,49,309,Union Square Lower East Side,309310,"Union Square, Lower Manhattan"
10004,30,310,Lower Manhattan,309310,"Union Square, Lower Manhattan"
10005,50,310,Lower Manhattan,309310,"Union Square, Lower Manhattan"
10006,38,310,Lower Manhattan,309310,"Union Square, Lower Manhattan"
10007,37,310,Lower Manhattan,309310,"Union Square, Lower Manhattan"
10009,88,309,Union Square Lower East Side,309310,"Union Square, Lower Manhattan"
10010,50,307,Gramercy Park Murray Hill,305307,Upper East Side Gramercy
10011,51,306,Chelsea Clinton,306308,Chelsea Village
10012,60,308,Greenwich Village SoHo,306308,Chelsea Village
10013,69,308,Greenwich Village SoHo,306308,Chelsea Village
10014,37,308,Greenwich Village SoHo,306308,Chelsea Village
10016,42,307,Gramercy Park Murray Hill,305307,Upper East Side Gramercy
10017,42,307,Gramercy Park Murray Hill,305307,Upper East Side Gramercy
10018,65,306,Chelsea Clinton,306308,Chelsea Village
10019,63,306,Chelsea Clinton,306308,Chelsea Village
10020,NA,306,Chelsea Clinton,306308,Chelsea Village
10021,30,305,Upper East Side,305307,Upper East Side Gramercy
10022,26,307,Gramercy Park Murray Hill,305307,Upper East Side Gramercy
10023,43,304,Upper West Side,304,Upper West Side
10024,41,304,Upper West Side,304,Upper West Side
10025,74,304,Upper West Side,304,Upper West Side
10026,95,302,Central Harlem Morningside Heights,302,Central Harlem Morningside Heights
10027,95,302,Central Harlem Morningside Heights,302,Central Harlem Morningside Heights
10028,34,305,Upper East Side,305307,Upper East Side Gramercy
10029,100,303,East Harlem,303,East Harlem
10030,99,302,Central Harlem Morningside Heights,302,Central Harlem Morningside Heights
10031,96,301,Washington Heights Inwood,301,Washington Heights Inwood
10032,97,301,Washington Heights Inwood,301,Washington Heights Inwood
10033,94,301,Washington Heights Inwood,301,Washington Heights Inwood
10034,95,301,Washington Heights Inwood,301,Washington Heights Inwood
10035,100,303,East Harlem,303,East Harlem
10036,69,306,Chelsea Clinton,306308,Chelsea Village
