bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
39213,Subscriber,Male,51,2019-09-01T00:00:01Z,2019-09-01T00:05:29Z,40.730563,-73.973984,40.73221853,-73.98165557,3733,Avenue C & E 18 St,10009,"Union Square, Lower Manhattan",504,1 Ave & E 16 St,10009,"Union Square, Lower Manhattan",88,40.5,8.67,88,40.5,8.67,Manhattan,Manhattan,3307,7468
15242,Customer,Unknown,50,2019-09-01T00:00:07Z,2019-09-01T00:21:40Z,40.78472675,-73.96961715,40.76584941,-73.98690506,3168,Central Park West & W 85 St,10024,Upper West Side,423,W 54 St & 9 Ave,10019,Chelsea Village,41,43.4,7.38,63,38.1,10.02,Manhattan,Manhattan,3666,3002
32094,Subscriber,Male,27,2019-09-01T00:00:12Z,2019-09-01T00:10:26Z,40.7462009,-73.98855723,40.76030096,-73.99884222,486,Broadway & W 29 St,10019,Chelsea Village,478,11 Ave & W 41 St,10018,Chelsea Village,63,38.1,10.02,65,38.1,10.02,Manhattan,Manhattan,5806,5066
28542,Customer,Male,23,2019-09-01T00:00:28Z,2019-09-01T00:33:49Z,40.79127,-73.964839,40.75019995,-73.99093085,3295,Central Park W & W 96 St,10025,Upper West Side,492,W 33 St & 7 Ave,10001,Chelsea Village,74,43.4,7.38,70,38.1,10.02,Manhattan,Manhattan,3817,5455
30286,Subscriber,Male,33,2019-09-01T00:00:32Z,2019-09-01T00:14:24Z,40.74173969,-73.99415556,40.76068327096592,-73.9845272898674,435,W 21 St & 6 Ave,10011,Chelsea Village,173,Broadway & W 49 St,10019,Chelsea Village,51,38.1,10.02,63,38.1,10.02,Manhattan,Manhattan,9654,5768
19993,Subscriber,Male,26,2019-09-01T00:00:39Z,2019-09-01T00:11:01Z,40.71334184275907,-74.00935515761375,40.73291553,-74.00711384,3690,Park Pl & Church St,10007,"Union Square, Lower Manhattan",358,Christopher St & Greenwich St,10014,Chelsea Village,37,40.5,8.67,37,38.1,10.02,Manhattan,Manhattan,1823,9642
38240,Customer,Male,27,2019-09-01T00:01:00Z,2019-09-01T00:46:52Z,40.76019252,-73.9912551,40.7937704,-73.971888,479,9 Ave & W 45 St,10019,Chelsea Village,3314,W 95 St & Broadway,10025,Upper West Side,63,38.1,10.02,74,43.4,7.38,Manhattan,Manhattan,5799,2100
31081,Subscriber,Female,37,2019-09-01T00:01:11Z,2019-09-01T00:13:28Z,40.7687620293096,-73.95840793848038,40.75323098,-73.97032517,3725,2 Ave & E 72 St,10021,Upper East Side Gramercy,164,E 47 St & 2 Ave,10017,Upper East Side Gramercy,30,36.5,8.98,42,36.5,8.98,Manhattan,Manhattan,2394,3643
30301,Subscriber,Female,61,2019-09-01T00:01:13Z,2019-09-01T00:13:48Z,40.71173107,-73.99193043,40.72746420692392,-73.97950418293476,331,Pike St & Monroe St,10002,"Union Square, Lower Manhattan",3718,E 11 St & Avenue B,10009,"Union Square, Lower Manhattan",97,40.5,8.67,88,40.5,8.67,Manhattan,Manhattan,2109,4331
33357,Subscriber,Male,16,2019-09-01T00:01:23Z,2019-09-01T00:10:18Z,40.7699426,-73.96060712,40.787801,-73.953559,3375,3 Ave & E 72 St,10035,East Harlem,3336,E 97 St & Madison Ave,10029,East Harlem,100,70.1,7.11,100,70.1,7.11,Manhattan,Manhattan,917,1575
15922,Customer,Unknown,50,2019-09-01T00:01:31Z,2019-09-01T00:14:45Z,40.722055,-73.989111,40.741459,-73.983293,312,Allen St & Stanton St,10002,"Union Square, Lower Manhattan",3707,Lexington Ave & E 26 St,10035,East Harlem,97,40.5,8.67,100,70.1,7.11,Manhattan,Manhattan,5737,6403
39145,Subscriber,Male,25,2019-09-01T00:01:46Z,2019-09-01T00:22:52Z,40.77579376683666,-73.9762057363987,40.7882213,-73.97041561,3165,Central Park West & W 72 St,10023,Upper West Side,3283,W 89 St & Columbus Ave,10024,Upper West Side,43,43.4,7.38,41,43.4,7.38,Manhattan,Manhattan,5218,2182
17157,Customer,Male,21,2019-09-01T00:01:46Z,2019-09-01T00:25:55Z,40.71427487,-73.98990025,40.70905623,-74.01043382,307,Canal St & Rutgers St,10002,"Union Square, Lower Manhattan",195,Liberty St & Broadway,10005,"Union Square, Lower Manhattan",97,40.5,8.67,50,40.5,8.67,Manhattan,Manhattan,5174,4362
39003,Customer,Female,27,2019-09-01T00:01:47Z,2019-09-01T00:26:16Z,40.72082834,-73.97793172,40.72966729392978,-73.98067966103554,302,Avenue D & E 3 St,10009,"Union Square, Lower Manhattan",3711,E 13 St & Avenue A,10009,"Union Square, Lower Manhattan",88,40.5,8.67,88,40.5,8.67,Manhattan,Manhattan,2302,7325
30396,Customer,Male,28,2019-09-01T00:02:02Z,2019-09-01T00:24:14Z,40.8008363,-73.9664492472,40.7652654,-73.98192338,3357,W 106 St & Amsterdam Ave,10025,Upper West Side,468,Broadway & W 56 St,10019,Chelsea Village,74,43.4,7.38,63,38.1,10.02,Manhattan,Manhattan,1295,6347
38040,Subscriber,Male,33,2019-09-01T00:02:10Z,2019-09-01T00:16:00Z,40.7785669,-73.97754961,40.7934337,-73.94945003,3172,W 74 St & Columbus Ave,10023,Upper West Side,3387,E 106 St & Madison Ave,10037,Central Harlem Morningside Heights,43,43.4,7.38,97,68.7,7,Manhattan,Manhattan,1387,856
38349,Customer,Unknown,50,2019-09-01T00:02:13Z,2019-09-01T00:33:48Z,40.802535,-73.9532423,40.802535,-73.9532423,3511,Adam Clayton Powell Blvd & W 115 St,10026,Central Harlem Morningside Heights,3511,Adam Clayton Powell Blvd & W 115 St,10026,Central Harlem Morningside Heights,95,68.7,7,95,68.7,7,Manhattan,Manhattan,374,374
14547,Customer,Unknown,50,2019-09-01T00:02:17Z,2019-09-01T00:15:17Z,40.71910537,-73.99973337,40.73454567,-73.99074142,268,Howard St & Centre St,10013,Chelsea Village,285,Broadway & E 14 St,10003,"Union Square, Lower Manhattan",69,38.1,10.02,49,40.5,8.67,Manhattan,Manhattan,4466,12146
33533,Customer,Unknown,50,2019-09-01T00:02:20Z,2019-09-01T00:38:37Z,40.802535,-73.9532423,40.8011939,-73.9500739,3511,Adam Clayton Powell Blvd & W 115 St,10026,Central Harlem Morningside Heights,3509,Lenox Ave & W 115 St,10037,Central Harlem Morningside Heights,95,68.7,7,97,68.7,7,Manhattan,Manhattan,374,864
35046,Subscriber,Male,61,2019-09-01T00:02:28Z,2019-09-01T00:40:05Z,40.7770575,-73.97898475,40.77966809007312,-73.98093044757842,3164,Columbus Ave & W 72 St,10023,Upper West Side,3167,Amsterdam Ave & W 73 St,10023,Upper West Side,43,43.4,7.38,43,43.4,7.38,Manhattan,Manhattan,5257,4085
19668,Customer,Unknown,50,2019-09-01T00:02:31Z,2019-09-01T00:11:33Z,40.7770575,-73.97898475,40.76370739,-73.9851615,3164,Columbus Ave & W 72 St,10023,Upper West Side,447,8 Ave & W 52 St,10019,Chelsea Village,43,43.4,7.38,63,38.1,10.02,Manhattan,Manhattan,5257,4753
20925,Subscriber,Male,30,2019-09-01T00:02:31Z,2019-09-01T00:12:01Z,40.72405549,-74.00965965,40.7390169121,-74.0026376103,328,Watts St & Greenwich St,10005,"Union Square, Lower Manhattan",284,Greenwich Ave & 8 Ave,10014,Chelsea Village,50,40.5,8.67,37,38.1,10.02,Manhattan,Manhattan,3871,7649
33681,Subscriber,Male,33,2019-09-01T00:02:33Z,2019-09-01T00:48:13Z,40.73038599,-74.00214988,40.7941654,-73.974124,368,Carmine St & 6 Ave,10014,Chelsea Village,3307,West End Ave & W 94 St,10025,Upper West Side,37,38.1,10.02,74,43.4,7.38,Manhattan,Manhattan,4645,1414
29159,Subscriber,Male,56,2019-09-01T00:02:34Z,2019-09-01T00:18:29Z,40.72966729392978,-73.98067966103554,40.74345335,-74.00004031,3711,E 13 St & Avenue A,10009,"Union Square, Lower Manhattan",470,W 20 St & 8 Ave,10011,Chelsea Village,88,40.5,8.67,51,38.1,10.02,Manhattan,Manhattan,8046,3793
25910,Subscriber,Unknown,50,2019-09-01T00:02:46Z,2019-09-01T00:10:17Z,40.7158155,-73.99422366,40.72066442,-73.98517977,412,Forsyth St & Canal St,10002,"Union Square, Lower Manhattan",410,Suffolk St & Stanton St,10002,"Union Square, Lower Manhattan",97,40.5,8.67,97,40.5,8.67,Manhattan,Manhattan,3143,3592
21010,Subscriber,Male,25,2019-09-01T00:03:11Z,2019-09-01T00:11:01Z,40.7361967,-74.00859207,40.72706363348306,-73.99662137031554,238,Bank St & Washington St,10014,Chelsea Village,3260,Mercer St & Bleecker St,10011,Chelsea Village,37,38.1,10.02,51,38.1,10.02,Manhattan,Manhattan,3170,5634
