bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
31167,Subscriber,Male,25,2019-09-01T00:00:43Z,2019-09-01T00:28:34Z,40.74966,-73.9521,40.7485,-73.941275,3127,9 St & 44 Rd,11101,Long Island City Astoria,3618,27 St & Hunter St,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,282,575
17357,Subscriber,Female,34,2019-09-01T00:01:06Z,2019-09-01T00:06:21Z,40.7747878,-73.9125551,40.78145,-73.9183302,3526,31 St & 23 Ave,11105,Long Island City Astoria,3532,Ditmars Blvd & 19 St,11105,Long Island City Astoria,62,56.4,7.99,62,56.4,7.99,Queens,Queens,1160,728
38534,Subscriber,Male,43,2019-09-01T00:02:07Z,2019-09-01T00:08:14Z,40.7659,-73.930819,40.7614376,-73.9411265,3591,21 St & 31 Dr,11106,Long Island City Astoria,3565,36 Ave & 10 St,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,498,506
18476,Subscriber,Male,37,2019-09-01T00:03:41Z,2019-09-01T00:15:04Z,40.7577284,-73.9166368,40.7577284,-73.9166368,3597,43 St & Broadway,11101,Long Island City Astoria,3597,43 St & Broadway,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,606,653
27781,Subscriber,Male,30,2019-09-01T00:04:14Z,2019-09-01T00:12:04Z,40.7747878,-73.9125551,40.7658346,-73.9265474,3526,31 St & 23 Ave,11105,Long Island City Astoria,3605,31 Ave & Crescent St,11369,West Queens,62,56.4,7.99,84,62.8,7.35,Queens,Queens,1160,461
27167,Subscriber,Male,28,2019-09-01T00:06:18Z,2019-09-01T00:17:07Z,40.700003,-73.92834,40.707165,-73.923711,3776,Central Ave & Starr Street,11237,Williamsburg Bushwick,3763,Wyckoff Av & Jefferson St,11385,Ridgewood Forest Hills,98,61.8,7.5,75,61.6,6.56,Queens,Brooklyn,20,956
35106,Subscriber,Female,30,2019-09-01T00:06:50Z,2019-09-01T00:14:18Z,40.7747878,-73.9125551,40.774645,-73.923706,3526,31 St & 23 Ave,11105,Long Island City Astoria,3513,21 St & Hoyt Ave S,11106,Long Island City Astoria,62,56.4,7.99,76,56.4,7.99,Queens,Queens,1160,383
18337,Subscriber,Male,55,2019-09-01T00:10:21Z,2019-09-01T00:22:28Z,40.7787185,-73.9145645,40.7787185,-73.9145645,3530,Crescent St & Ditmars Blvd,11105,Long Island City Astoria,3530,Crescent St & Ditmars Blvd,11105,Long Island City Astoria,62,56.4,7.99,62,56.4,7.99,Queens,Queens,250,282
39772,Subscriber,Male,31,2019-09-01T00:10:24Z,2019-09-01T00:34:15Z,40.7557327,-73.9236611,40.7659,-73.930819,3570,35 Ave & 37 St,11101,Long Island City Astoria,3591,21 St & 31 Dr,11106,Long Island City Astoria,85,56.4,7.99,76,56.4,7.99,Queens,Queens,455,525
25038,Subscriber,Female,31,2019-09-01T00:14:56Z,2019-09-01T00:24:53Z,40.7580583,-73.9242751,40.768692,-73.9249574,3573,35 St & 34 Ave,11106,Long Island City Astoria,3614,Crescent St & 30 Ave,11102,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,286,490
25128,Subscriber,Male,34,2019-09-01T00:15:14Z,2019-09-01T00:50:41Z,40.763604677958625,-73.98917958140373,40.7747878,-73.9125551,3699,W 50 St & 9 Ave,10019,Chelsea Village,3526,31 St & 23 Ave,11105,Long Island City Astoria,63,38.1,10.02,62,56.4,7.99,Queens,Manhattan,19,1302
35165,Subscriber,Female,32,2019-09-01T00:15:43Z,2019-09-01T00:30:23Z,40.74966,-73.9521,40.754876,-73.934326,3127,9 St & 44 Rd,11101,Long Island City Astoria,3560,28 St & 38 Ave,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,282,565
18476,Customer,Male,25,2019-09-01T00:22:19Z,2019-09-01T00:39:24Z,40.7577284,-73.9166368,40.757186,-73.932719,3597,43 St & Broadway,11101,Long Island City Astoria,3563,28 St & 36 Ave,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,606,372
15358,Subscriber,Male,29,2019-09-01T00:23:55Z,2019-09-01T00:29:38Z,40.74524768,-73.94733276,40.7576314,-73.9391224,3121,Jackson Ave & 46 Rd,11101,Long Island City Astoria,3559,21 St & 38 Ave,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,276,164
