zipcode,n
10000,50297
10043,43769
10045,25069
10055,32065
10065,165310
10069,61127
10075,122394
10105,83042
10111,518
10115,26905
10120,81948
10129,22650
10153,72926
10155,12022
10158,32607
10172,76045
10199,158437
10205,36438
10275,38759
10281,70616
10282,157407
10285,63805
11109,65908
11227,13507
11242,72247
11249,240557
11251,88471
100019,48828
7087,3
7302,55
7304,6
7306,4
7307,10
7310,14
7311,20
10000,52095
10043,43034
10045,26239
10055,31458
10065,164162
10069,55296
10075,119840
10105,79975
10111,536
10115,26759
10120,82783
10129,23220
10153,68433
10155,11682
10158,33328
10172,74654
10199,165623
10205,34534
10275,44367
10281,71149
10282,166501
10285,61731
11109,65358
11227,14080
11242,76211
11249,244887
11251,96577
100019,54714
