bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
21257,Customer,Unknown,50,2019-09-01T00:00:04Z,2019-09-01T00:19:09Z,40.6829151,-73.99318208,40.69308257,-73.97178913,3329,Degraw St & Smith St,11217,Downtown Heights Slope,270,Adelphi St & Myrtle Ave,11238,Bedford Stuyvesant Crown Heights,74,50.8,7.44,70,62.9,6.61,Brooklyn,Brooklyn,1153,1182
28271,Customer,Unknown,50,2019-09-01T00:00:16Z,2019-09-01T00:08:19Z,40.702013,-73.923769,40.706237,-73.933871,3775,Suydam St & Knickerbocker Ave,11237,Williamsburg Bushwick,3771,McKibbin St & Bogart St,11206,Williamsburg Bushwick,98,61.8,7.5,100,61.8,7.5,Brooklyn,Brooklyn,586,601
28831,Subscriber,Unknown,50,2019-09-01T00:00:39Z,2019-09-01T00:07:02Z,40.6902375,-73.99203074,40.67909799721684,-73.98765474557877,3402,Court St & State St,11231,Downtown Heights Slope,3407,Union St & Nevins St,11215,Downtown Heights Slope,84,50.8,7.44,47,50.8,7.44,Brooklyn,Brooklyn,2234,690
31015,Subscriber,Female,27,2019-09-01T00:00:39Z,2019-09-01T00:09:33Z,40.71286844,-73.95698119,40.7239567849954,-73.94984364509583,471,Grand St & Havemeyer St,11211,Greenpoint,3668,Leonard St & Nassau Ave,11222,Greenpoint,88,41.8,8.56,61,41.8,8.56,Brooklyn,Brooklyn,1867,692
18208,Customer,Male,25,2019-09-01T00:01:25Z,2019-09-01T00:12:17Z,40.69327018,-73.97703874,40.69527008,-73.95238108,245,Myrtle Ave & St Edwards St,11237,Williamsburg Bushwick,3063,Nostrand Ave & Myrtle Ave,11235,Coney Island Sheepshead Bay,98,61.8,7.5,78,58.6,6.04,Brooklyn,Brooklyn,730,372
19891,Customer,Male,31,2019-09-01T00:01:57Z,2019-09-01T00:18:09Z,40.702997,-73.92997,40.71044554,-73.96525063,3758,George St & Wilson Ave,11207,East New York,389,Broadway & Berry St,11207,East New York,99,71.2,6.56,99,71.2,6.56,Brooklyn,Brooklyn,436,1411
39151,Subscriber,Male,31,2019-09-01T00:02:21Z,2019-09-01T00:13:15Z,40.666287,-73.98895053,40.6793307,-73.97519523,3319,14 St & 5 Ave,11215,Downtown Heights Slope,3415,Prospect Pl & 6 Ave,11217,Downtown Heights Slope,47,50.8,7.44,74,50.8,7.44,Brooklyn,Brooklyn,1317,708
32323,Subscriber,Female,24,2019-09-01T00:03:27Z,2019-09-01T00:09:02Z,40.6794388,-73.9680438,40.6765198,-73.9596082,3558,Bergen St & Vanderbilt Ave,11213,Bedford Stuyvesant Crown Heights,3562,Classon Ave & St Marks Ave,11238,Bedford Stuyvesant Crown Heights,97,62.9,6.61,70,62.9,6.61,Brooklyn,Brooklyn,1559,901
38633,Subscriber,Male,34,2019-09-01T00:03:32Z,2019-09-01T00:12:05Z,40.686312,-73.935775,40.698617,-73.941342,3052,Lewis Ave & Madison St,11221,Williamsburg Bushwick,3179,Park Ave & Marcus Garvey Blvd,11206,Williamsburg Bushwick,96,61.8,7.5,100,61.8,7.5,Brooklyn,Brooklyn,1023,453
33156,Customer,Unknown,28,2019-09-01T00:04:19Z,2019-09-01T00:12:25Z,40.7169811,-73.94485918,40.72906,-73.95779,3094,Graham Ave & Withers St,11211,Greenpoint,3112,Milton St & Franklin St,11222,Greenpoint,88,41.8,8.56,61,41.8,8.56,Brooklyn,Brooklyn,819,1755
39572,Customer,Male,35,2019-09-01T00:04:42Z,2019-09-01T00:13:43Z,40.6917823,-73.9737299,40.6809741,-73.9710097,262,Washington Park,11205,Downtown Heights Slope,3537,Carlton Ave & Dean St,11238,Bedford Stuyvesant Crown Heights,97,50.8,7.44,70,62.9,6.61,Brooklyn,Brooklyn,886,960
39596,Customer,Unknown,50,2019-09-01T00:04:45Z,2019-09-01T00:42:21Z,40.6767,-73.969024,40.6829151,-73.99318208,3576,Park Pl & Vanderbilt Ave,11238,Bedford Stuyvesant Crown Heights,3329,Degraw St & Smith St,11217,Downtown Heights Slope,70,62.9,6.61,74,50.8,7.44,Brooklyn,Brooklyn,962,1047
25273,Customer,Male,25,2019-09-01T00:05:08Z,2019-09-01T00:24:33Z,40.71413311,-73.95234386,40.71893904,-73.99266288,3087,Metropolitan Ave & Meeker Ave,11211,Greenpoint,531,Forsyth St & Broome St,10002,"Union Square, Lower Manhattan",88,41.8,8.56,97,40.5,8.67,Manhattan,Brooklyn,1486,438
