bikeid,user_type,gender,age,start_time,stop_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_station_id,start_station_name,start_zipcode,start_uhf34_neighborhood,end_station_id,end_station_name,end_zipcode,end_uhf34_neighborhood,start_sdi_score,start_percent_overweight,start_aq,end_sdi_score,end_percent_overweight,end_aq,end_borough,start_borough,start_station_count,end_station_count
31167,Subscriber,Male,25,2019-09-01T00:00:43Z,2019-09-01T00:28:34Z,40.74966,-73.9521,40.7485,-73.941275,3127,9 St & 44 Rd,11101,Long Island City Astoria,3618,27 St & Hunter St,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,366,364
17357,Subscriber,Female,34,2019-09-01T00:01:06Z,2019-09-01T00:06:21Z,40.7747878,-73.9125551,40.78145,-73.9183302,3526,31 St & 23 Ave,11105,Long Island City Astoria,3532,Ditmars Blvd & 19 St,11105,Long Island City Astoria,62,56.4,7.99,62,56.4,7.99,Queens,Queens,1243,657
38534,Subscriber,Male,43,2019-09-01T00:02:07Z,2019-09-01T00:08:14Z,40.7659,-73.930819,40.7614376,-73.9411265,3591,21 St & 31 Dr,11106,Long Island City Astoria,3565,36 Ave & 10 St,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,552,438
18476,Subscriber,Male,37,2019-09-01T00:03:41Z,2019-09-01T00:15:04Z,40.7577284,-73.9166368,40.7577284,-73.9166368,3597,43 St & Broadway,11101,Long Island City Astoria,3597,43 St & Broadway,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,685,533
27279,Subscriber,Female,48,2019-09-01T00:09:31Z,2019-09-01T00:33:46Z,40.707165,-73.923711,40.694546087246025,-73.95801365375519,3763,Wyckoff Av & Jefferson St,11385,Ridgewood Forest Hills,372,Franklin Ave & Myrtle Ave,11205,Downtown Heights Slope,75,61.6,6.56,97,50.8,7.44,Brooklyn,Queens,971,16
18337,Subscriber,Male,55,2019-09-01T00:10:21Z,2019-09-01T00:22:28Z,40.7787185,-73.9145645,40.7787185,-73.9145645,3530,Crescent St & Ditmars Blvd,11105,Long Island City Astoria,3530,Crescent St & Ditmars Blvd,11105,Long Island City Astoria,62,56.4,7.99,62,56.4,7.99,Queens,Queens,275,262
39772,Subscriber,Male,31,2019-09-01T00:10:24Z,2019-09-01T00:34:15Z,40.7557327,-73.9236611,40.7659,-73.930819,3570,35 Ave & 37 St,11101,Long Island City Astoria,3591,21 St & 31 Dr,11106,Long Island City Astoria,85,56.4,7.99,76,56.4,7.99,Queens,Queens,534,468
15788,Subscriber,Male,39,2019-09-01T00:11:56Z,2019-09-01T00:41:51Z,40.751047,-73.937970000000007,40.768254,-73.988639,3555,28 St & 41 Ave,11101,Long Island City Astoria,513,W 56 St & 10 Ave,10019,Chelsea Village,85,56.4,7.99,63,38.1,10.02,Manhattan,Queens,1032,20
25038,Subscriber,Female,31,2019-09-01T00:14:56Z,2019-09-01T00:24:53Z,40.7580583,-73.9242751,40.768692,-73.9249574,3573,35 St & 34 Ave,11106,Long Island City Astoria,3614,Crescent St & 30 Ave,11102,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,326,427
15358,Subscriber,Male,29,2019-09-01T00:23:55Z,2019-09-01T00:29:38Z,40.74524768,-73.94733276,40.7576314,-73.9391224,3121,Jackson Ave & 46 Rd,11101,Long Island City Astoria,3559,21 St & 38 Ave,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,582,146
26623,Subscriber,Male,27,2019-09-01T00:26:22Z,2019-09-01T00:32:06Z,40.7711528,-73.9170074,40.761584,-73.925921,3517,31 St & Hoyt Ave N,11102,Long Island City Astoria,3593,31 St & Broadway,11106,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,269,1175
29870,Subscriber,Male,29,2019-09-01T00:27:21Z,2019-09-01T00:38:51Z,40.7675487799971,-73.9209334552288,40.76408932350688,-73.91065120697021,3721,31 St & Newtown Ave,11102,Long Island City Astoria,3691,28 Ave & 44 St,11103,Long Island City Astoria,76,56.4,7.99,73,56.4,7.99,Queens,Queens,1416,508
18959,Customer,Male,22,2019-09-01T00:28:34Z,2019-09-01T00:38:10Z,40.756913,-73.921631,40.756913,-73.921631,3572,34 Ave & 38 St,11101,Long Island City Astoria,3572,34 Ave & 38 St,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,1180,980
34007,Customer,Female,29,2019-09-01T00:30:08Z,2019-09-01T00:42:24Z,40.774591,-73.918544,40.7527085,-73.9397405,3515,24 Ave & 26 St,11105,Long Island City Astoria,3556,24 St & 41 Ave,11101,Long Island City Astoria,62,56.4,7.99,85,56.4,7.99,Queens,Queens,364,311
32996,Subscriber,Male,25,2019-09-01T00:31:02Z,2019-09-01T00:52:44Z,40.7485,-73.941275,40.74252,-73.948852,3618,27 St & Hunter St,11101,Long Island City Astoria,3606,49 Ave & 21 St,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,543,133
14723,Subscriber,Male,32,2019-09-01T00:33:45Z,2019-09-01T00:42:18Z,40.7703743,-73.9286078,40.760339,-73.9222427,3612,30 Ave & 21 St,11102,Long Island City Astoria,3595,35 St & Broadway,11106,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,377,433
39539,Subscriber,Male,61,2019-09-01T00:34:20Z,2019-09-01T00:46:23Z,40.7633589,-73.9286471,40.7668,-73.9347774,3592,Crescent St & Broadway,11106,Long Island City Astoria,3589,Broadway & 12 St,11373,West Queens,76,56.4,7.99,81,62.8,7.35,Queens,Queens,646,328
38500,Subscriber,Male,40,2019-09-01T00:39:16Z,2019-09-01T01:12:26Z,40.768692,-73.9249574,40.7829391,-73.9786517,3614,Crescent St & 30 Ave,11102,Long Island City Astoria,3360,Amsterdam Ave & W 79 St,10040,Washington Heights Inwood,76,56.4,7.99,97,64.6,7.11,Manhattan,Queens,474,8
19990,Subscriber,Male,27,2019-09-01T00:42:29Z,2019-09-01T01:22:16Z,40.75110165,-73.94073717,40.7449067,-73.9534573,3129,Queens Plaza North & Crescent St,11101,Long Island City Astoria,3611,Vernon Blvd & 47 Rd,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,2279,599
19493,Subscriber,Female,48,2019-09-01T00:50:32Z,2019-09-01T00:59:29Z,40.7668,-73.9347774,40.7682,-73.9322662,3589,Broadway & 12 St,11373,West Queens,3607,31 Ave & 14 St,11106,Long Island City Astoria,81,62.8,7.35,76,56.4,7.99,Queens,Queens,427,276
25814,Subscriber,Female,23,2019-09-01T00:57:51Z,2019-09-01T01:04:30Z,40.754876,-73.934326,40.763154,-73.920827,3560,28 St & 38 Ave,11101,Long Island City Astoria,3602,31 Ave & 34 St,11369,West Queens,85,56.4,7.99,84,62.8,7.35,Queens,Queens,496,649
38988,Subscriber,Male,29,2019-09-01T00:59:07Z,2019-09-01T01:32:32Z,40.74708586,-73.94977234,40.78339981,-73.98093133,3125,45 Rd & 11 St,11101,Long Island City Astoria,3162,W 78 St & Broadway,10024,Upper West Side,85,56.4,7.99,41,43.4,7.38,Manhattan,Queens,672,5
38252,Subscriber,Male,38,2019-09-01T01:09:26Z,2019-09-01T01:14:36Z,40.7729,-73.916142,40.7774552,-73.9225403,3523,24 Ave & 29 St,11102,Long Island City Astoria,3524,19 St & 24 Ave,11102,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,410,469
31356,Subscriber,Female,26,2019-09-01T01:11:19Z,2019-09-01T01:19:18Z,40.7595701,-73.9142678,40.7703743,-73.9286078,3598,Newton Rd & 44 St,11103,Long Island City Astoria,3612,30 Ave & 21 St,11102,Long Island City Astoria,73,56.4,7.99,76,56.4,7.99,Queens,Queens,427,338
34969,Subscriber,Male,27,2019-09-01T01:15:07Z,2019-09-01T01:54:21Z,40.763154,-73.920827,40.730563,-73.973984,3602,31 Ave & 34 St,11369,West Queens,3733,Avenue C & E 18 St,10009,"Union Square, Lower Manhattan",84,62.8,7.35,88,40.5,8.67,Manhattan,Queens,688,4
19795,Customer,Male,29,2019-09-01T01:18:21Z,2019-09-01T01:24:01Z,40.7767,-73.927631,40.7711528,-73.9170074,3514,Astoria Park S & Shore Blvd,11105,Long Island City Astoria,3517,31 St & Hoyt Ave N,11102,Long Island City Astoria,62,56.4,7.99,76,56.4,7.99,Queens,Queens,756,236
39861,Subscriber,Male,24,2019-09-01T01:22:36Z,2019-09-01T01:30:56Z,40.7449067,-73.9534573,40.751047,-73.937970000000007,3611,Vernon Blvd & 47 Rd,11101,Long Island City Astoria,3555,28 St & 41 Ave,11101,Long Island City Astoria,85,56.4,7.99,85,56.4,7.99,Queens,Queens,773,746
38595,Subscriber,Male,34,2019-09-01T01:34:21Z,2019-09-01T01:47:45Z,40.7701477,-73.9120938,40.768692,-73.9249574,3522,37 St & 24 Ave,11101,Long Island City Astoria,3614,Crescent St & 30 Ave,11102,Long Island City Astoria,85,56.4,7.99,76,56.4,7.99,Queens,Queens,275,427
32817,Subscriber,Male,26,2019-09-01T01:34:23Z,2019-09-01T01:50:28Z,40.774645,-73.923706,40.751047,-73.937970000000007,3513,21 St & Hoyt Ave S,11106,Long Island City Astoria,3555,28 St & 41 Ave,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,378,746
34143,Subscriber,Male,41,2019-09-01T01:36:49Z,2019-09-01T01:41:56Z,40.7569332,-73.9262231,40.7633589,-73.9286471,3568,34 St & 35 Ave,11106,Long Island City Astoria,3592,Crescent St & Broadway,11106,Long Island City Astoria,76,56.4,7.99,76,56.4,7.99,Queens,Queens,341,593
19717,Subscriber,Male,33,2019-09-01T02:20:20Z,2019-09-01T02:40:16Z,40.770845,-73.934171,40.7449067,-73.9534573,3610,Vernon Blvd & 30 Rd,11106,Long Island City Astoria,3611,Vernon Blvd & 47 Rd,11101,Long Island City Astoria,76,56.4,7.99,85,56.4,7.99,Queens,Queens,717,599
14723,Customer,Unknown,50,2019-09-01T02:33:34Z,2019-09-01T03:01:37Z,40.760339,-73.9222427,40.707165,-73.923711,3595,35 St & Broadway,11106,Long Island City Astoria,3763,Wyckoff Av & Jefferson St,11385,Ridgewood Forest Hills,76,56.4,7.99,75,61.6,6.56,Queens,Queens,434,46
