station_id,station_name,latitude,longitude,zipcode,uhf34,uhf34_neighborhood,borough
3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,10012,306308,Chelsea Village,Manhattan
458,11 Ave & W 27 St,40.751396,-74.005226,10001,306308,Chelsea Village,Manhattan
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,11216,203,Bedford Stuyvesant Crown Heights,Brooklyn
3457,E 58 St & Madison Ave,40.76302594280519,-73.97209525108337,10022,305307,Upper East Side Gramercy,Manhattan
3521,Lenox Ave & W 111 St,40.7987859,-73.9523,10037,302,Central Harlem Morningside Heights,Manhattan
3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
394,E 9 St & Avenue C,40.72521311,-73.97768752,10009,309310,"Union Square, Lower Manhattan",Manhattan
423,W 54 St & 9 Ave,40.76584941,-73.98690506,10019,306308,Chelsea Village,Manhattan
446,W 24 St & 7 Ave,40.74487634,-73.99529885,10011,306308,Chelsea Village,Manhattan
526,E 33 St & 5 Ave,40.74765947,-73.98490707,10016,305307,Upper East Side Gramercy,Manhattan
518,E 39 St & 2 Ave,40.74780373,-73.9734419,10016,305307,Upper East Side Gramercy,Manhattan
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,10011,306308,Chelsea Village,Manhattan
3320,Central Park West & W 100 St,40.79406660818552,-73.96286845207214,10025,304,Upper West Side,Manhattan
427,Bus Slip & State St,40.701907,-74.013942,10004,309310,"Union Square, Lower Manhattan",Manhattan
128,MacDougal St & Prince St,40.72710258,-74.00297088,10012,306308,Chelsea Village,Manhattan
3160,Central Park West & W 76 St,40.77896784,-73.97374737,10024,304,Upper West Side,Manhattan
519,Pershing Square North,40.751873,-73.977706,10037,302,Central Harlem Morningside Heights,Manhattan
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,10024,304,Upper West Side,Manhattan
504,1 Ave & E 16 St,40.73221853,-73.98165557,10009,309310,"Union Square, Lower Manhattan",Manhattan
229,Great Jones St,40.72743423,-73.99379025,10012,306308,Chelsea Village,Manhattan
3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,10026,302,Central Harlem Morningside Heights,Manhattan
285,Broadway & E 14 St,40.73454567,-73.99074142,10003,309310,"Union Square, Lower Manhattan",Manhattan
3394,Columbia St & W 9 St,40.6769993,-74.00647134,11231,202,Downtown Heights Slope,Brooklyn
379,W 31 St & 7 Ave,40.749156,-73.9916,10001,306308,Chelsea Village,Manhattan
3452,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,11211,201,Greenpoint,Brooklyn
507,E 25 St & 2 Ave,40.73912601,-73.97973776,10010,305307,Upper East Side Gramercy,Manhattan
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,11222,201,Greenpoint,Brooklyn
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,10022,305307,Upper East Side Gramercy,Manhattan
3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,10023,304,Upper West Side,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,10012,306308,Chelsea Village,Manhattan
3159,W 67 St & Broadway,40.77492513,-73.98266566,10023,304,Upper West Side,Manhattan
3231,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,10065,NA,NA,NA
435,W 21 St & 6 Ave,40.74173969,-73.99415556,10011,306308,Chelsea Village,Manhattan
484,W 44 St & 5 Ave,40.75500254,-73.98014437,10036,306308,Chelsea Village,Manhattan
3321,Clinton St & Union St,40.6831164,-73.99785267,11231,202,Downtown Heights Slope,Brooklyn
3163,Central Park West & W 68 St,40.7734066,-73.97782542,10023,304,Upper West Side,Manhattan
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,10024,304,Upper West Side,Manhattan
3304,6 Ave & 9 St,40.668127,-73.98377641,11215,202,Downtown Heights Slope,Brooklyn
3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
534,Water - Whitehall Plaza,40.70255065,-74.0127234,10004,309310,"Union Square, Lower Manhattan",Manhattan
3367,5 Ave & E 103 St,40.7922553,-73.95249933,10029,303,East Harlem,Manhattan
307,Canal St & Rutgers St,40.71427487,-73.98990025,10002,309310,"Union Square, Lower Manhattan",Manhattan
3235,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,10017,305307,Upper East Side Gramercy,Manhattan
168,W 18 St & 6 Ave,40.73971301,-73.99456405,10011,306308,Chelsea Village,Manhattan
