end_station_name
1 Ave & E 16 St
W 54 St & 9 Ave
11 Ave & W 41 St
W 33 St & 7 Ave
Broadway & W 49 St
Christopher St & Greenwich St
W 95 St & Broadway
E 47 St & 2 Ave
E 11 St & Avenue B
E 97 St & Madison Ave
Lexington Ave & E 26 St
W 89 St & Columbus Ave
Liberty St & Broadway
E 13 St & Avenue A
Broadway & W 56 St
E 106 St & Madison Ave
Adam Clayton Powell Blvd & W 115 St
Broadway & E 14 St
Lenox Ave & W 115 St
Amsterdam Ave & W 73 St
8 Ave & W 52 St
Greenwich Ave & 8 Ave
West End Ave & W 94 St
W 20 St & 8 Ave
Suffolk St & Stanton St
Mercer St & Bleecker St
W 56 St & 10 Ave
E 10 St & Avenue A
E 25 St & 2 Ave
E 68 St & 3 Ave
W 11 St & 6 Ave
Mott St & Prince St
W 13 St & 5 Ave
Allen St & Stanton St
2 Ave & E 31 St
E 20 St & 2 Ave
W 106 St & Amsterdam Ave
W 47 St & 10 Ave
Grand St & Elizabeth St
Pleasant Ave & E 116 St
Greenwich Ave & Charles St
Madison Ave & E 99 St
Bank St & Hudson St
E 6 St & Avenue B
8 Ave & W 33 St
Pitt St & Stanton St
W 74 St & Columbus Ave
Avenue C & E 18 St
Barrow St & Hudson St
Forsyth St & Canal St
E 9 St & Avenue C
W 41 St & 8 Ave
Broadway & E 22 St
Mercer St & Spring St
Catherine St & Monroe St
E 33 St & 1 Ave
St Marks Pl & 2 Ave
E 72 St & York Ave
9 Ave & W 28 St
E 102 St & Park Ave
John St & William St
Amsterdam Ave & W 79 St
Columbia St & Rivington St
E 15 St & 3 Ave
E 88 St & 1 Ave
W 15 St & 7 Ave
Columbus Ave & W 95 St
Canal St & Rutgers St
Stanton St & Chrystie St
W 31 St & 7 Ave
9 Ave & W 18 St
W 53 St & 10 Ave
2 Ave & E 104 St
Lenox Ave & W 126 St
E 30 St & Park Ave S
W 37 St & 10 Ave
E 12 St & 3 Ave
Lenox Ave & W 130 St
W 4 St & 7 Ave S
9 Ave & W 45 St
E 84 St & 3 Ave
W 26 St & 10 Ave
W 100 St & Broadway
E 11 St & 2 Ave
E 39 St & 2 Ave
W 35 St & Dyer Ave
W 84 St & Columbus Ave
W 21 St & 6 Ave
E 93 St & 2 Ave
St Marks Pl & 1 Ave
W 24 St & 7 Ave
Duane St & Greenwich St
Pershing Square North
Lenox Ave & W 117 St
1 Ave & E 30 St
E 11 St & 1 Ave
E 4 St & 2 Ave
W 84 St & Broadway
Henry St & Grand St
E 58 St & 3 Ave
Washington Pl & 6 Ave
W 42 St & 8 Ave
E 2 St & Avenue A
E 118 St & 1 Ave
2 Ave & E 122 St
10 Ave & W 28 St
Clinton St & Grand St
Stanton St & Mangin St
Frederick Douglass Blvd & W 112 St
Bank St & Washington St
W 90 St & Amsterdam Ave
Greenwich St & W Houston St
9 Ave & W 22 St
E 32 St & Park Ave
Forsyth St & Broome St
Murray St & Greenwich St
W 18 St & 9 Ave
W 13 St & 7 Ave
Spruce St & Nassau St
W 38 St & 8 Ave
Perry St & Bleecker St
11 Ave & W 27 St
Rivington St & Chrystie St
E 19 St & 3 Ave
Central Park West & W 76 St
W 55 St & 6 Ave
1 Ave & E 18 St
W 22 St & 8 Ave
E 20 St & FDR Drive
Franklin St & W Broadway
Columbus Ave & W 103 St
Allen St & Hester St
Cleveland Pl & Spring St
E 123 St & Lexington Ave
E 48 St & 3 Ave
Stanton St & Norfolk St
E 91 St & 2 Ave
Central Park West & W 100 St
MacDougal St & Prince St
W Broadway & Spring Street
E 115 St & Lexington Ave
Pike St & E Broadway
2 Ave & E 96 St
Allen St & Rivington St
W 27 St & 7 Ave
E 39 St & 3 Ave
Broadway & W 38 St
E 2 St & Avenue C
E 45 St & 3 Ave
W 52 St & 11 Ave
Fulton St & Broadway
Broadway & W 53 St
Cooper Square & Astor Pl
Rivington St & Ridge St
Broadway & W 29 St
5 Ave & E 29 St
Maiden Ln & Pearl St
E 103 St & Lexington Ave
Howard St & Centre St
Old Slip & Front St
W 22 St & 10 Ave
W 17 St & 8 Ave
11 Ave & W 59 St
W 87 St & West End Ave
University Pl & E 8 St
W 42 St & Dyer Ave
E 20 St & Park Ave
E 31 St & 3 Ave
E 5 St & Avenue C
LaGuardia Pl & W 3 St
St James Pl & Oliver St
Gansevoort St & Hudson St
6 Ave & Canal St
St. Nicholas Ave & W 126 St
Fulton St & William St
Avenue D & E 3 St
Broadway & W 41 St
W 46 St & 11 Ave
W 113 St & Broadway
Bus Slip & State St
Norfolk St & Broome St
FDR Drive & E 35 St
E 59 St & Madison Ave
Water - Whitehall Plaza
Bayard St & Baxter St
Lafayette St & Jersey St
Lexington Ave & E 29 St
W 50 St & 9 Ave
William St & Pine St
Lafayette St & E 8 St
3 Ave & E 72 St
W 25 St & 6 Ave
Frederick Douglass Blvd & W 129 St
E 2 St & 2 Ave
Lexington Ave & E 111 St
Division St & Bowery
Murray St & West St
E 24 St & Park Ave S
Amsterdam Ave & W 66 St
E 6 St & Avenue D
Pleasant Ave & E 120 St
Central Park West & W 82 St
Avenue D & E 8 St
E 118 St & 3 Ave
Adam Clayton Powell Blvd & W 123 St
Broadway & W 25 St
Broadway & W 36 St
E 7 St & Avenue A
E 27 St & 1 Ave
Adam Clayton Powell Blvd & W 126 St
Central Park West & W 68 St
Pearl St & Hanover Square
E 55 St & 2 Ave
